"","Metabolite","Estimate","SE","LCI","UCI","Pval"
"162","L.LDL.CE..",0.0399720993058598,0.0281663556768243,-0.0152532229809951,0.0951974215927146,0.15591911053398
"163","Ala",-0.0398133626917288,0.0282481658813415,-0.0951996968988674,0.0155729715154098,0.158774522699348
"164","PUFA",0.0388649071279742,0.0282177597976105,-0.0164624417236476,0.0941922559795959,0.168474423758841
"165","XL.VLDL.TG..",-0.0381183770061295,0.0284620885879524,-0.0939256191548317,0.0176888651425728,0.180545992229088
"166","XL.VLDL.C..",0.0380765208900889,0.0284530164774228,-0.0177106437895229,0.0938636855697008,0.180885966982993
"167","M.HDL.TG..",-0.0370253194938319,0.0281990667440466,-0.0923169858926155,0.0182663469049517,0.189243455929122
"168","IDL.CE..",-0.0362030350633047,0.0278541261599198,-0.0908157565282585,0.0184096864016492,0.193750737269024
"169","Gly",0.0366667117624201,0.0282412985674537,-0.0187058106916143,0.0920392342164544,0.194231382228601
"170","Lac",-0.0364085180347576,0.0282748826471824,-0.0918490564647456,0.0190320203952304,0.197922506226599
"171","S.VLDL.CE",0.0362366886405005,0.0282730522252027,-0.0191998705987143,0.0916732478797154,0.200017862618442
"172","TotCho",0.0361210283806532,0.0283023320021522,-0.0193704533695944,0.0916125101309007,0.201923882704572
"173","IDL.TG",0.0358769751750822,0.0282967434416707,-0.0196064707686245,0.0913604211187888,0.204898240559256
"174","L.VLDL.C..",0.0366862128984484,0.0290457569162696,-0.0202872609267348,0.0936596867236316,0.206630659522397
"175","M.VLDL.FC..",-0.0355467269106975,0.028177753467818,-0.0907974877568588,0.0197040339354638,0.207180916256758
"176","PC",0.0350260506554887,0.0281220833036367,-0.0201129487781264,0.0901650500891039,0.213006083364785
"177","TotPG",0.0335948102234614,0.0281834147449738,-0.0216648207674169,0.0888544412143396,0.233314977329878
"178","XL.VLDL.PL..",0.0340795296270432,0.0286597574255714,-0.0221181387687587,0.090277198022845,0.234455560947917
"179","DHA",0.0322074043043297,0.0282350793904775,-0.0231539885195763,0.0875687971282356,0.254054308597301
"180","XL.VLDL.CE..",0.0323657628124599,0.0284017401119543,-0.0233236429549349,0.0880551685798547,0.254521828616302
"181","HDL.TG",-0.0318907477602553,0.0282021521940518,-0.0871876106621174,0.0234061151416068,0.258196799961245
"182","XXL.VLDL.FC..",-0.0319399177132799,0.028588356087558,-0.0879972901686996,0.0241174547421398,0.26395009084783
"183","S.VLDL.P",-0.031099196589575,0.028222711204127,-0.0864378176873344,0.0242394245081845,0.270548701784131
"184","L.HDL.TG..",-0.0307672830276358,0.0282726737084021,-0.0862002981316349,0.0246657320763633,0.276544192736935
"185","M.HDL.PL..",-0.0301416807414012,0.0279336679754833,-0.084912573425537,0.0246292119427347,0.280619430102391
"186","FAw3.FA",0.0301668018060294,0.0281692957784323,-0.0250659856305632,0.0853995892426221,0.284260982277721
"187","LDL.D",0.0301923403822898,0.0281987949084422,-0.025097165329617,0.0854818460941965,0.284357397701225
"188","SFA",-0.0300462319638107,0.0281319220384064,-0.085205539741443,0.0251130758138215,0.285550334158289
"189","M.VLDL.CE",-0.0286339930696708,0.0282150296906539,-0.0839566390559548,0.0266886529166132,0.310226592933885
"190","S.VLDL.L",-0.026072681726493,0.0282268960370747,-0.0814195521489467,0.0292741886959607,0.355696050459662
